feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,game_total_9plus,"2023,2024,2025",3,1120,353,0.4779,-0.0205,-0.0346,-0.0094,mixed_or_noisy
BD_gap_bucket,plus_15_plus,team_f5_runs_2plus,"2023,2024,2025",3,5272,1701,0.6035,0.0204,0.0177,0.0256,mixed_or_noisy
BD_L10_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,3917,1266,0.5187,0.0202,0.0107,0.031,mixed_or_noisy
BD_bucket,very_low_lt_85,game_total_9plus,"2023,2024,2025",3,3917,1266,0.5187,0.0202,0.0107,0.031,mixed_or_noisy
BD_chaos_bucket,avg_95_105,opponent_post5_runs_2plus,"2023,2024,2025",3,1853,586,0.4609,-0.0201,-0.0297,-0.0042,mixed_or_noisy
bullpen_outs_last_2d_bucket,very_heavy_28_plus,f5_total_4plus,"2023,2024,2025",3,2542,786,0.606,-0.02,-0.0335,0.0019,mixed_or_noisy
error_rate_L10_bucket,very_high_70_plus,opponent_runs_4plus,"2023,2024,2025",3,2187,638,0.5779,0.02,-0.006,0.0447,mixed_or_noisy
BO_L5_bucket,avg_95_105,team_runs_5plus,"2023,2024,2025",3,1684,531,0.4514,0.0199,0.0147,0.027,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,team_runs_5plus,"2023,2024,2025",3,1120,353,0.4515,0.0199,0.0055,0.028,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,team_f5_runs_2plus,"2023,2024,2025",3,5095,1663,0.5633,-0.0198,-0.0305,-0.0123,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,opponent_runs_5plus,"2023,2024,2025",3,5095,1663,0.4512,0.0197,0.0041,0.0306,mixed_or_noisy
BO_gap_bucket,plus_15_plus,team_runs_5plus,"2023,2024,2025",3,5095,1663,0.4512,0.0197,0.0041,0.0306,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,team_runs_4plus,"2023,2024,2025",3,4604,1506,0.5776,0.0197,0.009,0.0303,mixed_or_noisy
BO_bucket,very_high_115_plus,team_runs_4plus,"2023,2024,2025",3,4604,1506,0.5776,0.0197,0.009,0.0303,mixed_or_noisy
