generated_at,window_start,window_end,game_date,game_id,subject_team,market_type,threshold,side,brain_score,calibrated_probability,market_implied_probability_cents,gap_cents,bucket,graded,outcome,pl_cents
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,LAA@SF,LAA,team_total,4.0,YES,0.0,0.531,62.0,-8.899999999999999,brain_high_market_high,True,WIN,38.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,ATH@MIN,ATH,team_total,4.0,YES,0.0,0.531,62.0,-8.899999999999999,brain_high_market_high,True,WIN,38.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,MIN@CLE,CLE,team_total,5.0,NO,0.1791,0.5913,68.0,-8.869999999999997,brain_high_market_high,True,LOSE,-68.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,ATL@BAL,BAL,moneyline,,YES,0.013,0.472,56.0,-8.800000000000004,brain_low_market_high,True,LOSE,-56.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,MIN@CLE,CLE,moneyline,,YES,0.1262,0.5039,59.0,-8.61,brain_high_market_high,True,LOSE,-59.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,COL@MIL,MIL,moneyline,,YES,0.4251,0.6039,69.0,-8.61,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,LAD@NYM,LAD,moneyline,,YES,0.1982,0.5039,59.0,-8.61,brain_high_market_high,True,LOSE,-59.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,CIN@SEA,CIN,team_total,5.0,NO,0.0432,0.5546,64.0,-8.54,brain_high_market_high,True,WIN,36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,SEA@TEX,SEA,team_total,5.0,NO,0.0599,0.5546,64.0,-8.54,brain_high_market_high,True,LOSE,-64.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,CIN@SEA,SEA,team_total,5.0,NO,0.0,0.5546,64.0,-8.54,brain_high_market_high,True,WIN,36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,DET@CHC,CHC,team_total,5.0,NO,0.0,0.5546,64.0,-8.54,brain_high_market_high,True,LOSE,-64.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,CLE@TB,TB,team_total,5.0,NO,0.0028,0.5546,64.0,-8.54,brain_high_market_high,True,LOSE,-64.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,KC@DET,DET,team_total,5.0,NO,0.0,0.5546,47.0,8.46,brain_high_market_low,True,WIN,53.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,KC@DET,DET,team_total,5.0,NO,0.0,0.5546,47.0,8.46,brain_high_market_low,True,WIN,53.0
