game_date,away_team,home_team,start_time,away_pitcher,home_pitcher,sportsbook,away_moneyline,home_moneyline,opener_away,opener_home,source_url,parse_method
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,FanDuel,+114,-134,+108,-126,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,Caesars,+118,-140,+110,-130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,bet365,+115,-135,+110,-130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,DraftKings,+113,-136,+109,-131,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,Fanatics Sportsbook,+115,-140,+115,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,BetMGM,-105,-115,+100,-120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,FanDuel,-102,-116,-110,-106,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,Caesars,-105,-115,+100,-120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,bet365,-105,-115,+100,-120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,DraftKings,-108,-112,-102,-118,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,San Diego Padres,Arizona Diamondbacks,2026-04-25T22:05:00,G. Marquez,Z. Gallen,Fanatics Sportsbook,-105,-115,+100,-120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Athletics Athletics,Texas Rangers,2026-04-25T23:05:00,J. Springs,M. Gore,BetMGM,+110,-130,+125,-150,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Athletics Athletics,Texas Rangers,2026-04-25T23:05:00,J. Springs,M. Gore,FanDuel,+108,-126,+124,-146,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Athletics Athletics,Texas Rangers,2026-04-25T23:05:00,J. Springs,M. Gore,Caesars,+105,-125,+130,-155,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
