season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_3_late_7_plus,45_50,600,0.0333,0.0683,0.37,0.4233,0.3567,0.1583,2484,0.0431,-0.0098,0.0761,-0.0078,0.318,0.052,0.3732,0.0501,0.3019,0.0548,0.1514,0.0069
2023,down_4_late_7_plus,45_50,587,0.0085,0.0239,0.3203,0.3629,0.2726,0.046,2125,0.0245,-0.016,0.0381,-0.0142,0.3233,-0.003,0.3751,-0.0122,0.2894,-0.0168,0.0776,-0.0316
2023,down_4_late_7_plus,50_55,579,0.0415,0.0518,0.3541,0.3921,0.323,0.1002,2125,0.0245,0.017,0.0381,0.0137,0.3233,0.0308,0.3751,0.017,0.2894,0.0336,0.0776,0.0226
2024,down_1_late_7_plus,40_45,579,0.2314,0.3454,0.3713,0.4266,0.3454,0.9775,4150,0.232,-0.0006,0.3383,0.0071,0.3525,0.0188,0.4051,0.0215,0.3383,0.0071,0.974,0.0035
2024,down_3_f5_1_5,50_55,577,0.1421,0.2357,0.3622,0.4905,0.3899,0.2409,1931,0.13,0.0121,0.2258,0.0099,0.392,-0.0298,0.5298,-0.0393,0.4247,-0.0348,0.2496,-0.0087
2023,down_1_late_7_plus,40_45,564,0.1897,0.2996,0.3227,0.3688,0.2996,0.961,4144,0.2266,-0.0369,0.3313,-0.0317,0.3448,-0.0221,0.3924,-0.0236,0.3313,-0.0317,0.9718,-0.0108
2024,down_2_f5_1_5,55_60,561,0.2086,0.3066,0.344,0.5187,0.3815,0.3815,2806,0.2217,-0.0131,0.3553,-0.0487,0.3813,-0.0373,0.5474,-0.0287,0.4195,-0.038,0.4195,-0.038
2023,down_3_f5_1_5,45_50,557,0.1598,0.2513,0.3824,0.5422,0.4255,0.2334,1832,0.1736,-0.0138,0.2735,-0.0222,0.4099,-0.0275,0.5617,-0.0195,0.4481,-0.0226,0.2702,-0.0368
2025,down_5_plus_f5_1_5,50_55,541,0.0333,0.0665,0.4898,0.6303,0.525,0.0665,1789,0.0369,-0.0036,0.0598,0.0067,0.4203,0.0695,0.5696,0.0607,0.4477,0.0773,0.0464,0.0201
2023,down_2_f5_1_5,55_60,536,0.2463,0.4254,0.4086,0.5653,0.4496,0.4496,2652,0.2466,-0.0003,0.4163,0.0091,0.4427,-0.0341,0.592,-0.0267,0.4729,-0.0233,0.4729,-0.0233
2025,down_4_late_7_plus,45_50,531,0.0207,0.0226,0.2881,0.3352,0.2354,0.049,1928,0.0239,-0.0032,0.0311,-0.0085,0.2822,0.0059,0.333,0.0022,0.2573,-0.0219,0.0705,-0.0215
2024,down_3_late_7_plus,55_60,525,0.0267,0.0362,0.28,0.3333,0.2571,0.101,2744,0.0466,-0.0199,0.0678,-0.0316,0.3287,-0.0487,0.3812,-0.0479,0.32,-0.0629,0.1396,-0.0386
2025,down_2_early_1_3,55_60,525,0.2705,0.4552,0.379,0.5352,0.4571,0.4571,2763,0.2649,0.0056,0.4629,-0.0077,0.3959,-0.0169,0.553,-0.0178,0.447,0.0101,0.447,0.0101
