season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_1_middle_6,away,795,0.2868,0.4616,0.3157,0.5082,0.395,0.9736,1608,0.3346,-0.0478,0.51,-0.0484,0.3943,-0.0786,0.5647,-0.0565,0.449,-0.054,0.9826,-0.009
2025,down_1_middle_6,home,794,0.3829,0.529,0.427,0.5705,0.4622,0.9811,1601,0.3279,0.055,0.4859,0.0431,0.3691,0.0579,0.524,0.0465,0.4204,0.0418,0.9781,0.003
2023,down_1_middle_6,away,784,0.2883,0.4949,0.3367,0.5128,0.4235,0.9732,1639,0.3295,-0.0412,0.5095,-0.0146,0.3905,-0.0538,0.5503,-0.0375,0.446,-0.0225,0.975,-0.0018
2024,down_3_early_1_3,away,757,0.1387,0.2417,0.3078,0.4967,0.3871,0.2114,1634,0.1707,-0.032,0.2803,-0.0386,0.4002,-0.0924,0.5532,-0.0565,0.4278,-0.0407,0.2301,-0.0187
2025,down_3_early_1_3,away,749,0.1709,0.2644,0.2884,0.4673,0.3418,0.1909,1574,0.1887,-0.0178,0.3253,-0.0609,0.3952,-0.1068,0.5559,-0.0886,0.425,-0.0832,0.2541,-0.0632
2023,down_3_early_1_3,away,738,0.1951,0.3388,0.3103,0.4729,0.3482,0.2276,1690,0.226,-0.0309,0.3657,-0.0269,0.4385,-0.1282,0.5964,-0.1235,0.458,-0.1098,0.2817,-0.0541
2024,down_5_plus_middle_6,away,719,0.0083,0.0209,0.3435,0.4757,0.3894,0.0195,1412,0.0184,-0.0101,0.0269,-0.006,0.3817,-0.0382,0.5163,-0.0406,0.4256,-0.0362,0.0276,-0.0081
2023,down_5_plus_middle_6,home,707,0.0311,0.0495,0.4583,0.6195,0.4866,0.0495,1330,0.0195,0.0116,0.0331,0.0164,0.4113,0.047,0.5887,0.0308,0.4549,0.0317,0.0406,0.0089
2024,down_5_plus_middle_6,home,693,0.0289,0.0332,0.4214,0.5584,0.4632,0.0361,1412,0.0184,0.0105,0.0269,0.0063,0.3817,0.0397,0.5163,0.0421,0.4256,0.0376,0.0276,0.0085
2024,down_2_middle_6,away,652,0.1764,0.3052,0.3666,0.5291,0.4264,0.4264,1291,0.206,-0.0296,0.3238,-0.0186,0.4361,-0.0695,0.5655,-0.0364,0.4547,-0.0283,0.4547,-0.0283
2025,down_5_plus_middle_6,away,645,0.0109,0.014,0.2946,0.4915,0.3504,0.0326,1288,0.0194,-0.0085,0.0272,-0.0132,0.3773,-0.0827,0.5435,-0.052,0.4045,-0.0541,0.038,-0.0054
2025,down_5_plus_middle_6,home,643,0.028,0.0404,0.4603,0.5956,0.4588,0.0435,1288,0.0194,0.0086,0.0272,0.0132,0.3773,0.083,0.5435,0.0521,0.4045,0.0543,0.038,0.0055
2024,down_2_middle_6,home,639,0.2363,0.3427,0.507,0.6025,0.4836,0.4836,1291,0.206,0.0303,0.3238,0.0189,0.4361,0.0709,0.5655,0.037,0.4547,0.0289,0.4547,0.0289
2025,down_2_middle_6,away,639,0.1252,0.2613,0.3552,0.4851,0.4069,0.4069,1273,0.1728,-0.0476,0.3009,-0.0396,0.392,-0.0368,0.5169,-0.0318,0.4171,-0.0102,0.4171,-0.0102
2025,down_2_middle_6,home,634,0.2208,0.3407,0.429,0.5489,0.4274,0.4274,1273,0.1728,0.048,0.3009,0.0398,0.392,0.037,0.5169,0.032,0.4171,0.0103,0.4171,0.0103
2023,down_5_plus_middle_6,away,623,0.0064,0.0144,0.3579,0.5538,0.4189,0.0305,1330,0.0195,-0.0131,0.0331,-0.0187,0.4113,-0.0534,0.5887,-0.0349,0.4549,-0.036,0.0406,-0.0101
