season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_2_f5_1_5,high_4_5_5_5,715,0.8084,0.3762,0.4266,0.5706,0.4517,0.4517,2589,0.7636,0.0448,0.4002,-0.024,0.409,0.0176,0.5577,0.0129,0.4434,0.0083,0.4434,0.0083
2024,up_4_late_7_plus,mid_3_5_4_5,707,0.9675,0.0467,0.3027,0.3649,0.3098,0.0849,2139,0.9715,-0.004,0.0383,0.0084,0.323,-0.0203,0.3806,-0.0157,0.3249,-0.0151,0.0827,0.0022
2024,up_3_f5_1_5,mid_3_5_4_5,697,0.8364,0.2755,0.4032,0.5122,0.4247,0.2769,1931,0.8674,-0.031,0.2258,0.0497,0.392,0.0112,0.5298,-0.0176,0.4247,0.0,0.2496,0.0273
2024,up_1_f5_1_5,very_high_5_5_plus,676,0.6612,0.5621,0.3905,0.5651,0.429,0.9734,3704,0.6547,0.0065,0.5702,-0.0081,0.4023,-0.0118,0.5664,-0.0013,0.4355,-0.0065,0.9754,-0.002
2025,up_1_f5_1_5,low_lt_3_5,675,0.6193,0.6044,0.4074,0.5422,0.4519,0.9748,3632,0.6352,-0.0159,0.5765,0.0279,0.4025,0.0049,0.5498,-0.0076,0.4452,0.0067,0.9722,0.0026
2023,up_2_early_1_3,very_high_5_5_plus,670,0.7672,0.4597,0.4299,0.5597,0.4567,0.4567,2917,0.7011,0.0661,0.505,-0.0453,0.432,-0.0021,0.5883,-0.0286,0.4758,-0.0191,0.4758,-0.0191
2024,up_5_plus_f5_1_5,mid_3_5_4_5,663,0.9532,0.0814,0.3469,0.4887,0.4027,0.0588,1894,0.9498,0.0034,0.0692,0.0122,0.3685,-0.0216,0.5148,-0.0261,0.4197,-0.017,0.0533,0.0055
2025,up_1_f5_1_5,very_high_5_5_plus,656,0.6784,0.5564,0.4024,0.5442,0.439,0.9619,3632,0.6352,0.0432,0.5765,-0.0201,0.4025,-0.0001,0.5498,-0.0056,0.4452,-0.0062,0.9722,-0.0103
2025,up_2_late_7_plus,low_lt_3_5,652,0.888,0.1948,0.3482,0.4034,0.3589,0.3589,3185,0.8942,-0.0062,0.1799,0.0149,0.3341,0.0141,0.3962,0.0072,0.3353,0.0236,0.3353,0.0236
2024,up_4_late_7_plus,high_4_5_5_5,644,0.9596,0.0435,0.3307,0.3835,0.3339,0.0668,2139,0.9715,-0.0119,0.0383,0.0052,0.323,0.0077,0.3806,0.0029,0.3249,0.009,0.0827,-0.0159
2024,up_1_f5_1_5,low_lt_3_5,640,0.6391,0.5578,0.3984,0.5453,0.4344,0.9656,3704,0.6547,-0.0156,0.5702,-0.0124,0.4023,-0.0039,0.5664,-0.0211,0.4355,-0.0011,0.9754,-0.0098
2025,up_4_late_7_plus,high_4_5_5_5,638,0.989,0.0219,0.2665,0.3135,0.2492,0.0502,1928,0.9761,0.0129,0.0311,-0.0092,0.2822,-0.0157,0.333,-0.0195,0.2573,-0.0081,0.0705,-0.0203
2023,up_5_plus_f5_1_5,mid_3_5_4_5,636,0.9544,0.0597,0.3884,0.555,0.4088,0.0566,1901,0.9605,-0.0061,0.0631,-0.0034,0.3924,-0.004,0.5692,-0.0142,0.4477,-0.0389,0.0568,-0.0002
2024,up_2_late_7_plus,low_lt_3_5,627,0.9027,0.1372,0.3254,0.3716,0.3078,0.3078,3327,0.8744,0.0283,0.1776,-0.0404,0.3408,-0.0154,0.3956,-0.024,0.3267,-0.0189,0.3267,-0.0189
