season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_5plus,719,0.484,0.4925,-0.0085
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_10plus,774,0.4225,0.4257,-0.0032
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_10plus,771,0.358,0.3805,-0.0225
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_10plus,719,0.3741,0.3911,-0.017
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_9plus,774,0.5284,0.5237,0.0047
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_9plus,771,0.4773,0.4863,-0.009
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,game_total_9plus,719,0.4868,0.4853,0.0015
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_blew_early_small_lead,774,0.3217,0.2853,0.0364
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_blew_early_small_lead,771,0.2802,0.2697,0.0105
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_blew_early_small_lead,719,0.3324,0.2877,0.0447
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_4plus,774,0.5685,0.5745,-0.006
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_4plus,771,0.5409,0.55,-0.0091
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_4plus,719,0.5202,0.5493,-0.0291
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_5plus,774,0.4509,0.4529,-0.002
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_5plus,771,0.4332,0.4252,0.008
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,opponent_runs_5plus,719,0.3894,0.4166,-0.0272
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_scored_next2,774,0.3941,0.3316,0.0625
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_scored_next2,771,0.3307,0.3148,0.0159
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_scored_next2,719,0.3658,0.3279,0.0379
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_tied_or_led_later,774,0.3217,0.2853,0.0364
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_tied_or_led_later,771,0.2802,0.2697,0.0105
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_early_deficit_tied_or_led_later,719,0.3324,0.2877,0.0447
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_f5_runs_2plus,774,0.6137,0.5945,0.0192
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_f5_runs_2plus,771,0.585,0.5795,0.0055
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_f5_runs_2plus,719,0.605,0.5754,0.0296
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_post5_runs_2plus,774,0.4677,0.4955,-0.0278
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_post5_runs_2plus,771,0.4773,0.4773,0.0
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_post5_runs_2plus,719,0.4631,0.4701,-0.007
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_4plus,774,0.5788,0.5745,0.0043
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_4plus,771,0.5616,0.55,0.0116
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_4plus,719,0.5758,0.5493,0.0265
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_5plus,774,0.4612,0.4529,0.0083
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_5plus,771,0.4202,0.4252,-0.005
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_runs_5plus,719,0.4506,0.4166,0.034
